opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,industry,won,amount,days_to_deadline,employee_win_rate,industry_encoded,is_repeat_customer,priority_encoded
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,Public Sector,1,1054.0,132,0.6615384615384615,3,1,1
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514.0,Retail,1,4514.0,137,0.6311030741410488,4,1,1
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,Public Sector,1,50.0,133,0.6311030741410488,3,1,0
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,Telecom,1,588.0,135,0.6615384615384615,6,1,2
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,Public Sector,1,517.0,128,0.6168582375478927,3,1,1
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,Manufacturing,1,49.0,123,0.6190476190476191,2,1,1
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,Telecom,1,57.0,123,0.6368876080691642,6,1,1
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,Telecom,1,601.0,126,0.5726872246696035,6,1,1
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,Public Sector,1,1026.0,122,0.6,3,1,1
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,Banking,1,53.0,126,0.6190476190476191,0,1,1
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,Manufacturing,0,0.0,134,0.5818965517241379,2,1,2
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,Public Sector,1,5169.0,126,0.6553398058252428,3,1,2
