opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,sector,industry,series,sales_price,product_series,regional_office,won,amount,amount_log,days_to_deadline,deadline_urgency,priority_encoded,employee_win_rate,employee_experience,is_repeat_customer,industry_win_rate,amount_vs_industry_avg,amount_x_win_rate,industry_encoded,product_series_encoded,regional_office_encoded,team_size
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,retail,retail,GTX,1096.0,GTX,Central,1,1054.0,6.961296045910167,132,0,1,0.6615384615384615,195,1,0.6306235201262825,0.4424537863348761,4.6051650765251875,5,1,0,39
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,2016-10-25,2017-03-11,4514.0,medical,medical,,0.0,Other,Central,1,4514.0,8.415160465851086,137,0,2,0.6311030741410488,553,1,0.6231578947368421,1.9703231646101784,5.310833639388841,4,3,0,29
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,retail,retail,MG,55.0,MG,Central,1,50.0,3.9318256327243257,133,0,0,0.6311030741410488,553,1,0.6306235201262825,0.02098926880146471,2.4813872437988964,5,2,0,15
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,software,software,GTX,550.0,GTX,Central,1,588.0,6.3784261836515865,135,0,1,0.6615384615384615,195,1,0.6392045454545454,0.2491363475505974,4.219574244569511,7,1,0,43
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,services,services,GTX,550.0,GTX,West,1,517.0,6.249975242259483,128,0,0,0.6168582375478927,261,1,0.6335227272727273,0.22601120965127877,3.8553487126581483,6,1,2,8
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,medical,medical,MG,55.0,MG,Central,1,49.0,3.912023005428146,123,0,0,0.6190476190476191,336,1,0.6231578947368421,0.02138808929240114,2.4217285271698046,4,2,0,21
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,retail,retail,MG,55.0,MG,West,1,57.0,4.060443010546419,123,0,0,0.6368876080691642,347,1,0.6306235201262825,0.02392776643366977,2.586045836688065,5,2,2,39
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,entertainment,entertainment,GTX,550.0,GTX,West,1,601.0,6.400257445308821,126,0,1,0.5726872246696035,227,1,0.6467661691542289,0.23519779912755578,3.6653456735248753,1,1,2,19
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,medical,medical,GTX,1096.0,GTX,Central,1,1026.0,6.934397209928558,122,0,1,0.6,175,1,0.6231578947368421,0.44784040028578714,4.160638325957135,4,1,0,23
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,medical,medical,MG,55.0,MG,Central,1,53.0,3.9889840465642745,126,0,0,0.6190476190476191,336,1,0.6231578947368421,0.02313405576525021,2.469371076444551,4,2,0,11
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,528.0,retail,retail,,0.0,Other,Central,0,528.0,6.270988431858299,134,0,0,0.5818965517241379,232,1,0.6306235201262825,0.22164667854346734,3.6490665444003034,5,3,0,11
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,marketing,marketing,GTX,5482.0,GTX,West,1,5169.0,8.550627967502475,126,0,2,0.6553398058252428,206,1,0.6484751203852327,2.3905063784457896,5.6035668719069625,3,1,2,24
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,telecommunications,telecommunications,GTX,5482.0,GTX,West,1,4631.0,8.440744019252831,122,0,2,0.6995305164319249,213,1,0.625,1.9638356123618077,5.904558022857614,9,1,2,36
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,employment,employment,MG,3393.0,MG,West,1,3393.0,8.129764445794171,126,0,1,0.7039473684210527,152,1,0.6258741258741258,1.4707144740790588,5.7229262874998446,0,2,2,40
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,6555.0,telecommunications,telecommunications,MG,55.0,MG,West,0,6555.0,8.78813593986372,118,0,2,0.6545454545454545,110,1,0.625,2.7797327659321205,5.752234433365344,9,2,2,24
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,software,software,MG,3393.0,MG,West,1,3284.0,8.09712193091871,121,0,1,0.6545454545454545,110,1,0.6392045454545454,1.3914349750955133,5.299934354783156,7,2,2,3
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,telecommunications,telecommunications,MG,55.0,MG,Central,1,61.0,4.127134385045092,119,0,0,0.6666666666666666,264,1,0.625,0.02586784114749952,2.7514229233633944,9,2,0,22
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,1042.0,entertainment,entertainment,,0.0,Other,East,0,1042.0,6.949856455000773,122,0,1,0.6096256684491979,187,1,0.6467661691542289,0.40778054357889043,4.236810887005818,1,3,1,2
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,telecommunications,telecommunications,MG,55.0,MG,West,1,46.0,3.8501476017100584,121,0,0,0.6349206349206349,126,1,0.625,0.019506896603032425,2.44453815981591,9,2,2,24
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,1068.0,retail,retail,GTX,5482.0,GTX,West,0,1068.0,6.974478911025045,130,0,1,0.6553398058252428,206,1,0.6306235201262825,0.4483307815992862,4.570653655283404,5,1,2,44
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,medical,medical,MG,55.0,MG,Central,1,50.0,3.9318256327243257,131,0,0,0.6615384615384615,195,1,0.6231578947368421,0.021824580910613407,2.6010538801099385,4,2,0,30
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,finance,finance,GTX,1096.0,GTX,East,1,1014.0,6.922643891475888,124,0,1,0.6321243523316062,193,1,0.6117455138662317,0.42026100749270806,4.3759717863215455,2,1,1,38
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,services,services,GTX,550.0,GTX,Central,1,561.0,6.331501849893691,138,0,0,0.6311030741410488,553,1,0.6335227272727273,0.24524620621734503,3.995830281397646,6,1,0,2
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,entertainment,entertainment,GTX,550.0,GTX,West,1,590.0,6.3818160174060985,133,0,1,0.6397058823529411,272,1,0.6467661691542289,0.23089301411856558,4.0824852464289005,1,1,2,21
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,medical,medical,MG,55.0,MG,Central,1,61.0,4.127134385045092,122,0,0,0.6666666666666666,264,1,0.6231578947368421,0.02662598871094836,2.7514229233633944,4,2,0,33
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,4249.0,entertainment,entertainment,GTX,5482.0,GTX,East,0,4249.0,8.354674261918463,121,0,2,0.6321243523316062,193,1,0.6467661691542289,1.6628210457453987,5.281193056756749,1,1,1,12
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,entertainment,entertainment,MG,55.0,MG,West,1,58.0,4.07753744390572,114,0,0,0.6349206349206349,126,1,0.6467661691542289,0.022697957320130177,2.588912662797282,1,2,2,22
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0,medical,medical,,0.0,Other,West,1,4899.0,8.496990484098719,123,0,2,0.6995305164319249,213,1,0.6231578947368421,2.1383724376219018,5.943904141458728,4,3,2,44
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,4011.0,software,software,MG,3393.0,MG,East,0,4011.0,8.297045149081827,110,0,2,0.6446280991735537,121,1,0.6392045454545454,1.6994657993630038,5.348508443209772,7,2,1,25
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,marketing,marketing,MG,55.0,MG,Central,1,67.0,4.219507705176107,112,0,0,0.6666666666666666,264,1,0.6484751203852327,0.03098547636987191,2.813005136784071,3,2,0,49
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,finance,finance,,0.0,Other,West,1,4338.0,8.37539918579835,114,0,2,0.6553398058252428,206,1,0.6117455138662317,1.7979213515812305,5.488732476129988,2,3,2,27
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,retail,retail,GTX,550.0,GTX,West,1,578.0,6.361302477572996,127,0,1,0.6238805970149254,335,1,0.6306235201262825,0.24263594734493205,3.9686931875007643,5,1,2,42
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,technolgy,technolgy,GTX,550.0,GTX,East,1,556.0,6.322565239927284,109,0,0,0.6540084388185654,237,1,0.6342155009451795,0.23896181553913137,4.135011021893372,8,1,1,28
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,services,services,GTX,550.0,GTX,West,1,635.0,6.455198563340122,111,0,1,0.6545454545454545,110,1,0.6335227272727273,0.2775959731693656,4.2252208778226255,6,1,2,16
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,medical,medical,MG,3393.0,MG,East,1,3045.0,8.021584533455107,115,0,1,0.6962025316455697,79,1,0.6231578947368421,1.3291169774563565,5.584647460000391,4,2,1,15
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,marketing,marketing,GTX,1096.0,GTX,East,1,1233.0,7.1180162044653335,121,0,1,0.6097560975609756,123,1,0.6484751203852327,0.5702252591649561,4.340253783210569,3,1,1,47
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,medical,medical,MG,55.0,MG,Central,1,60.0,4.110873864173311,116,0,0,0.6666666666666666,264,1,0.6231578947368421,0.02618949709273609,2.740582576115541,4,2,0,44
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,1143.0,telecommunications,telecommunications,MG,55.0,MG,Central,0,1143.0,7.042286171939743,136,0,1,0.6190476190476191,336,1,0.625,0.4847039742883926,4.35951048739127,9,2,0,3
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,3388.0,finance,finance,GTX,550.0,GTX,Central,0,3388.0,8.128290171607052,114,0,1,0.6311030741410488,553,1,0.6117455138662317,1.4041856936738608,5.129788914811684,2,1,0,37
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,marketing,marketing,GTX,1096.0,GTX,Central,1,1170.0,7.065613363597717,126,0,1,0.6311030741410488,553,1,0.6484751203852327,0.5410896619813452,4.459130314458595,3,1,0,7
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,retail,retail,GTX,1096.0,GTX,Central,1,1162.0,7.0587581525186645,125,0,1,0.6288659793814433,194,1,0.6306235201262825,0.4877906069460399,4.439012858800397,5,1,0,21
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,technolgy,technolgy,MG,3393.0,MG,Central,1,3725.0,8.223090551161533,118,0,2,0.6311030741410488,553,1,0.6342155009451795,1.6009582066245762,5.189617725778255,8,2,0,9
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,finance,finance,GTX,550.0,GTX,West,1,559.0,6.327936783729195,135,0,0,0.6238805970149254,335,1,0.6117455138662317,0.23168235028444162,3.947876978505677,2,1,2,39
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,56.0,retail,retail,GTX,550.0,GTX,West,0,56.0,4.04305126783455,115,0,0,0.6545454545454545,110,1,0.6306235201262825,0.023507981057640476,2.646360829855342,5,1,2,18
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,3164.0,technolgy,technolgy,GTX,1096.0,GTX,Central,0,3164.0,8.059908334578276,124,0,1,0.6311030741410488,553,1,0.6342155009451795,1.3598474538953447,5.086632927247411,8,1,0,4
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,telecommunications,telecommunications,GTX,5482.0,GTX,West,1,4667.0,8.448485993406447,108,0,2,0.6553398058252428,206,1,0.625,1.9791018792685289,5.536629170436264,9,1,2,25
